,Gender,Age,Salary,Purchase Iphone
16,Male,47,25000,iphone11
17,Male,45,26000,iphone11
18,Male,46,28000,iphone11
19,Female,48,29000,iphone11
20,Male,45,22000,iphone11
21,Female,47,49000,iphone11
22,Male,48,41000,iphone11
23,Female,45,22000,iphone11
24,Male,46,23000,iphone11
25,Male,47,20000,iphone11
26,Male,49,28000,iphone11
27,Female,47,30000,iphone11
272,Male,60,42000,iphone11
274,Female,57,26000,iphone11
278,Female,52,38000,iphone11
279,Female,50,36000,iphone11
283,Female,52,21000,iphone11
292,Male,55,39000,iphone11
300,Female,58,38000,iphone11
318,Male,45,32000,iphone11
323,Female,48,30000,iphone11
355,Male,60,34000,iphone11
361,Female,53,34000,iphone11
365,Female,59,29000,iphone11
366,Female,58,47000,iphone11
369,Female,54,26000,iphone11
370,Female,60,46000,iphone11
375,Female,46,32000,iphone11
379,Female,58,23000,iphone11
381,Male,48,33000,iphone11
383,Male,49,28000,iphone11
384,Female,57,33000,iphone11
386,Female,49,39000,iphone11
388,Male,47,34000,iphone11
389,Female,48,35000,iphone11
390,Male,48,33000,iphone11
391,Male,47,23000,iphone11
392,Female,45,45000,iphone11
393,Male,60,42000,iphone11
395,Female,46,41000,iphone11
396,Male,51,23000,iphone11
397,Female,50,20000,iphone11
399,Female,49,36000,iphone11
235,Male,46,79000,iphone12
271,Female,59,76000,iphone12
275,Male,57,74000,iphone12
282,Male,37,70000,iphone12
289,Female,37,78000,iphone12
296,Male,42,73000,iphone12
301,Male,48,74000,iphone12
303,Male,37,79000,iphone12
315,Female,39,75000,iphone12
334,Male,57,60000,iphone12
343,Female,47,51000,iphone12
346,Male,53,72000,iphone12
356,Male,54,70000,iphone12
358,Male,40,71000,iphone12
385,Male,56,60000,iphone12
146,Female,27,96000,iphone13
210,Female,48,96000,iphone13
221,Male,35,91000,iphone13
233,Male,49,86000,iphone13
242,Female,50,88000,iphone13
249,Female,35,97000,iphone13
255,Female,52,90000,iphone13
258,Female,58,95000,iphone13
264,Male,48,90000,iphone13
277,Male,49,88000,iphone13
280,Female,59,88000,iphone13
285,Female,37,93000,iphone13
291,Male,49,89000,iphone13
311,Male,39,96000,iphone13
321,Female,53,82000,iphone13
352,Female,42,90000,iphone13
354,Male,36,99000,iphone13
367,Male,46,88000,iphone13
371,Male,60,83000,iphone13
378,Male,41,87000,iphone13
7,Female,32,150000,iphone13max
31,Female,27,137000,iphone13max
48,Male,30,135000,iphone13max
63,Male,32,120000,iphone13max
75,Male,34,112000,iphone13max
85,Female,31,118000,iphone13max
97,Male,28,123000,iphone13max
103,Female,33,149000,iphone13max
137,Male,30,107000,iphone13max
159,Female,32,135000,iphone13max
168,Male,29,148000,iphone13max
182,Female,32,117000,iphone13max
202,Female,39,134000,iphone13max
204,Female,58,101000,iphone13max
206,Female,55,130000,iphone13max
208,Female,40,142000,iphone13max
211,Male,52,150000,iphone13max
215,Female,60,108000,iphone13max
219,Male,59,143000,iphone13max
222,Male,37,144000,iphone13max
223,Male,60,102000,iphone13max
226,Female,36,126000,iphone13max
227,Male,56,133000,iphone13max
230,Female,35,147000,iphone13max
232,Male,40,107000,iphone13max
239,Female,53,143000,iphone13max
240,Male,42,149000,iphone13max
243,Female,56,104000,iphone13max
245,Female,51,146000,iphone13max
247,Female,57,122000,iphone13max
252,Female,48,134000,iphone13max
253,Female,37,146000,iphone13max
259,Female,45,131000,iphone13max
261,Male,36,144000,iphone13max
262,Female,55,125000,iphone13max
265,Female,42,108000,iphone13max
268,Female,47,144000,iphone13max
273,Male,39,106000,iphone13max
287,Female,48,138000,iphone13max
290,Male,39,134000,iphone13max
297,Female,43,112000,iphone13max
299,Male,46,117000,iphone13max
302,Female,37,137000,iphone13max
307,Female,47,113000,iphone13max
308,Male,36,125000,iphone13max
313,Female,49,141000,iphone13max
316,Female,54,104000,iphone13max
320,Female,52,138000,iphone13max
324,Female,48,131000,iphone13max
328,Male,36,118000,iphone13max
329,Female,47,107000,iphone13max
331,Female,48,119000,iphone13max
336,Male,58,144000,iphone13max
339,Male,39,122000,iphone13max
340,Female,53,104000,iphone13max
344,Male,47,105000,iphone13max
347,Female,54,108000,iphone13max
350,Female,38,113000,iphone13max
360,Male,43,129000,iphone13max
364,Male,42,104000,iphone13max
373,Male,59,130000,iphone13max
382,Female,44,139000,iphone13max
0,Male,19,19000,0
1,Male,35,20000,0
2,Female,26,43000,0
3,Female,27,57000,0
4,Male,19,76000,0
5,Male,27,58000,0
6,Female,27,84000,0
8,Male,25,33000,0
9,Female,35,65000,0
10,Female,26,80000,0
11,Female,26,52000,0
12,Male,20,86000,0
13,Male,32,18000,0
14,Male,18,82000,0
15,Male,29,80000,0
28,Male,29,43000,0
29,Male,31,18000,0
30,Male,31,74000,0
32,Female,21,16000,0
33,Female,28,44000,0
34,Male,27,90000,0
35,Male,35,27000,0
36,Female,33,28000,0
37,Male,30,49000,0
38,Female,26,72000,0
39,Female,27,31000,0
40,Female,27,17000,0
41,Female,33,51000,0
42,Male,35,108000,0
43,Male,30,15000,0
44,Female,28,84000,0
45,Male,23,20000,0
46,Male,25,79000,0
47,Female,27,54000,0
49,Female,31,89000,0
50,Female,24,32000,0
51,Female,18,44000,0
52,Female,29,83000,0
53,Female,35,23000,0
54,Female,27,58000,0
55,Female,24,55000,0
56,Female,23,48000,0
57,Male,28,79000,0
58,Male,22,18000,0
59,Female,32,117000,0
60,Male,27,20000,0
61,Male,25,87000,0
62,Female,23,66000,0
64,Female,59,83000,0
65,Male,24,58000,0
66,Male,24,19000,0
67,Female,23,82000,0
68,Female,22,63000,0
69,Female,31,68000,0
70,Male,25,80000,0
71,Female,24,27000,0
72,Female,20,23000,0
73,Female,33,113000,0
74,Male,32,18000,0
76,Male,18,52000,0
77,Female,22,27000,0
78,Female,28,87000,0
79,Female,26,17000,0
80,Male,30,80000,0
81,Male,39,42000,0
82,Male,20,49000,0
83,Male,35,88000,0
84,Female,30,62000,0
86,Male,24,55000,0
87,Female,28,85000,0
88,Male,26,81000,0
89,Male,35,50000,0
90,Male,22,81000,0
91,Female,30,116000,0
92,Male,26,15000,0
93,Female,29,28000,0
94,Female,29,83000,0
95,Female,35,44000,0
96,Female,35,25000,0
98,Male,35,73000,0
99,Female,28,37000,0
100,Male,27,88000,0
101,Male,28,59000,0
102,Female,32,86000,0
104,Female,19,21000,0
105,Male,21,72000,0
106,Female,26,35000,0
107,Male,27,89000,0
108,Male,26,86000,0
109,Female,38,80000,0
110,Female,39,71000,0
111,Female,37,71000,0
112,Male,38,61000,0
113,Male,37,55000,0
114,Male,42,80000,0
115,Male,40,57000,0
116,Male,35,75000,0
117,Male,36,52000,0
118,Male,40,59000,0
119,Male,41,59000,0
120,Female,36,75000,0
121,Male,37,72000,0
122,Female,40,75000,0
123,Male,35,53000,0
124,Female,41,51000,0
125,Female,39,61000,0
126,Male,42,65000,0
127,Male,26,32000,0
128,Male,30,17000,0
129,Female,26,84000,0
130,Male,31,58000,0
131,Male,33,31000,0
132,Male,30,87000,0
133,Female,21,68000,0
134,Female,28,55000,0
135,Male,23,63000,0
136,Female,20,82000,0
138,Female,28,59000,0
139,Male,19,25000,0
140,Male,19,85000,0
141,Female,18,68000,0
142,Male,35,59000,0
143,Male,30,89000,0
144,Female,34,25000,0
145,Female,24,89000,0
147,Female,41,30000,0
148,Male,29,61000,0
149,Male,20,74000,0
150,Female,26,15000,0
151,Male,41,45000,0
152,Male,31,76000,0
153,Female,36,50000,0
154,Male,40,47000,0
155,Female,31,15000,0
156,Male,46,59000,0
157,Male,29,75000,0
158,Male,26,30000,0
161,Male,25,90000,0
162,Female,37,33000,0
163,Male,35,38000,0
164,Female,33,69000,0
165,Female,18,86000,0
166,Female,22,55000,0
167,Female,35,71000,0
169,Female,29,47000,0
170,Male,21,88000,0
171,Male,34,115000,0
172,Female,26,118000,0
173,Female,34,43000,0
174,Female,34,72000,0
175,Female,23,28000,0
176,Female,35,47000,0
177,Male,25,22000,0
178,Male,24,23000,0
179,Female,31,34000,0
180,Male,26,16000,0
181,Female,31,71000,0
183,Male,33,43000,0
184,Female,33,60000,0
185,Male,31,66000,0
186,Female,20,82000,0
187,Female,33,41000,0
188,Male,35,72000,0
189,Male,28,32000,0
190,Male,24,84000,0
191,Female,19,26000,0
192,Male,29,43000,0
193,Male,19,70000,0
194,Male,28,89000,0
195,Male,34,43000,0
196,Female,30,79000,0
197,Female,20,36000,0
198,Male,26,80000,0
199,Male,35,22000,0
200,Male,35,39000,0
201,Male,49,74000,0
203,Female,41,71000,0
205,Female,47,47000,0
207,Female,52,114000,0
209,Female,46,22000,0
212,Female,59,42000,0
213,Male,35,58000,0
214,Male,47,43000,0
216,Male,49,65000,0
217,Male,40,78000,0
218,Female,46,96000,0
220,Female,41,80000,0
224,Female,35,60000,0
225,Male,37,53000,0
228,Female,40,72000,0
231,Male,39,42000,0
234,Female,38,112000,0
236,Male,40,57000,0
237,Female,37,80000,0
238,Female,46,82000,0
241,Male,38,59000,0
244,Female,41,72000,0
246,Female,35,50000,0
248,Male,41,52000,0
250,Female,44,39000,0
251,Male,37,52000,0
254,Female,50,44000,0
256,Female,41,72000,0
257,Male,40,57000,0
260,Female,35,77000,0
263,Female,35,72000,0
266,Male,40,75000,0
267,Male,37,74000,0
269,Male,40,61000,0
270,Female,43,133000,0
276,Male,38,71000,0
281,Male,35,61000,0
284,Male,48,141000,0
286,Female,37,62000,0
288,Male,41,79000,0
293,Male,37,77000,0
294,Female,35,57000,0
295,Female,36,63000,0
298,Male,45,79000,0
304,Female,40,60000,0
305,Male,42,54000,0
306,Female,51,134000,0
309,Female,38,50000,0
310,Female,42,70000,0
312,Female,38,50000,0
314,Female,39,79000,0
317,Male,35,55000,0
319,Male,36,60000,0
322,Male,41,52000,0
325,Female,41,60000,0
326,Male,41,72000,0
327,Female,42,75000,0
330,Male,38,51000,0
332,Male,42,65000,0
333,Male,40,65000,0
335,Female,36,54000,0
337,Male,35,79000,0
338,Female,38,55000,0
341,Male,35,75000,0
342,Female,38,65000,0
345,Female,41,63000,0
348,Male,39,77000,0
349,Male,38,61000,0
351,Male,37,75000,0
353,Female,37,57000,0
357,Female,41,72000,0
359,Male,42,54000,0
363,Female,42,79000,0
368,Male,38,71000,0
372,Female,39,73000,0
374,Female,37,80000,0
376,Female,46,74000,0
377,Female,42,53000,0
380,Male,42,64000,0
387,Male,39,71000,0
394,Female,39,59000,0
398,Male,36,33000,0
